location_id,location,parameter,value,date_utc,unit,lat,long,country
10771,Traralgon,pm25,6.84,2022-04-01T11:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.15,2022-04-01T12:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.004,2022-04-01T12:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.017,2022-04-01T12:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,21.64,2022-04-01T12:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,6.45,2022-04-01T12:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.14,2022-04-01T13:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.004,2022-04-01T13:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.016,2022-04-01T13:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,11.72,2022-04-01T13:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,5,2022-04-01T13:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.14,2022-04-01T14:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.004,2022-04-01T14:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.015,2022-04-01T14:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,7.38,2022-04-01T14:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,4.34,2022-04-01T14:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm10,6.21,2022-04-01T15:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,4.74,2022-04-01T15:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.15,2022-04-01T16:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.003,2022-04-01T16:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.015,2022-04-01T16:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,4.74,2022-04-01T16:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,4.5,2022-04-01T16:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.16,2022-04-01T17:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.002,2022-04-01T17:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.013,2022-04-01T17:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,4.75,2022-04-01T17:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,4.58,2022-04-01T17:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.16,2022-04-01T18:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.002,2022-04-01T18:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.012,2022-04-01T18:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,3.67,2022-04-01T18:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,pm25,3.75,2022-04-01T18:00:00Z,µg/m³,-38.1942825,146.531464,AU
10771,Traralgon,co,0.17,2022-04-01T19:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,no2,0.002,2022-04-01T19:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,o3,0.011,2022-04-01T19:00:00Z,ppm,-38.1942825,146.531464,AU
10771,Traralgon,pm10,3.02,2022-04-01T19:00:00Z,µg/m³,-38.1942825,146.531464,AU
