longitude,latitude,year,month,day,date,air_tmax,air_tmax_source,air_tmin,air_tmin_source,elev_m,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,extracted,mslp,mslp_source,radiation,radiation_source,rainfall,rainfall_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,vp,vp_deficit,vp_deficit_source,vp_source,location
146.5,-38.19,2022,4,20,2022-04-20,19,25,9.4,25,60.8 m,0.6,26,2.4,26,1.5,26,1.8,26,2.5,26,1.6,25,1.5,26,1.6,25,2.2,26,2024-10-27,1015.5,25,9,42,2,25,55.1,26,100,26,12.1,6.8,26,25,Traralgon
146.5,-38.19,2022,4,21,2022-04-21,17.2,25,11,25,60.8 m,0.8,26,2,26,1.4,26,1.5,26,2,26,2.3,25,1.4,26,2.3,25,1.9,26,2024-10-27,1025.8,25,8.2,42,0.2,25,65.8,26,98.3,26,12.9,4.9,26,25,Traralgon
146.5,-38.19,2022,4,22,2022-04-22,18.3,25,2.6,25,60.8 m,1.5,26,2.4,26,1.9,26,1.8,26,2.5,26,2.2,25,1.9,26,2.2,25,2.5,26,2024-10-27,1032.1,25,13.1,42,0,25,47.1,26,100,26,9.9,6.5,26,25,Traralgon
146.5,-38.19,2022,4,23,2022-04-23,21,25,4,25,60.8 m,1.3,26,2.6,26,1.9,26,2.1,26,2.8,26,1.4,25,1.9,26,1.4,25,2.7,26,2024-10-27,1032.7,25,12.5,42,0,25,44.7,26,100,26,11.1,8,26,25,Traralgon
146.5,-38.19,2022,4,24,2022-04-24,17.1,25,6.3,25,60.8 m,1.2,26,1.2,26,1.2,26,1,26,1.3,26,1.8,25,1.2,26,1.8,25,1.6,26,2024-10-27,1034.2,25,5.8,42,0,25,65.2,26,100,26,12.7,3.7,26,25,Traralgon
146.5,-38.19,2022,4,25,2022-04-25,20.1,25,8.6,25,60.8 m,2,26,2,26,2,26,1.5,26,1.8,26,2.3,25,2,26,2.3,25,2.2,26,2024-10-27,1029.9,25,12.3,42,0,25,64.2,26,100,26,15.1,4.5,26,25,Traralgon
146.5,-38.19,2022,4,26,2022-04-26,20.8,25,8.7,25,60.8 m,2,26,2,26,2,26,1.5,26,1.8,26,1.4,25,2,26,1.4,25,2.3,26,2024-10-27,1024,25,12.3,42,0,25,63.1,26,100,26,15.5,4.8,26,25,Traralgon
146.5,-38.19,2022,4,27,2022-04-27,21.9,25,13.9,25,60.8 m,0.6,26,2.3,26,1.5,26,1.8,26,2.5,26,1.2,25,1.5,26,1.2,25,2.2,26,2024-10-27,1018.5,25,7.4,42,0.1,25,59.4,26,98.3,26,15.6,7.6,26,25,Traralgon
146.5,-38.19,2022,4,28,2022-04-28,23.1,25,10.9,25,60.8 m,1.4,26,1.8,26,1.6,26,1.5,26,2,26,1.2,25,1.6,26,1.2,25,2.1,26,2024-10-27,1016.3,25,8,42,0,25,59.8,26,100,26,16.9,6.5,26,25,Traralgon
146.5,-38.19,2022,4,29,2022-04-29,23.3,25,8.6,25,60.8 m,1.1,26,1.9,26,1.5,26,1.7,26,2.3,26,1.8,25,1.5,26,1.8,25,2.3,26,2024-10-27,1018,25,8.6,42,0.1,25,53.5,26,100,26,15.3,7.5,26,25,Traralgon
